Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Method,Value LCU (million national currency),Value USD (million USD)
,ASEAN,2000,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,27994.1
,ASEAN,2000,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,15065.1
,ASEAN,2000,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,3053.9
,ASEAN,2000,17-18,Manufacture of paper products and printing,Current prices,Source,0,4702.5
,ASEAN,2000,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,13710.3
,ASEAN,2000,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,14954.8
,ASEAN,2000,22,Manufacture of rubber and plastics products,Current prices,Source,0,4851.6
,ASEAN,2000,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,4807.6
,ASEAN,2000,24,Manufacture of basic metals,Current prices,Source,0,4802.8
,ASEAN,2000,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,42496.9
,ASEAN,2000,29-30,Manufacture of transport equipment,Current prices,Source,0,11421.3
,ASEAN,2001,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,27523.2
,ASEAN,2001,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,14488.1
,ASEAN,2001,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,2801.5
,ASEAN,2001,17-18,Manufacture of paper products and printing,Current prices,Source,0,4524.3
,ASEAN,2001,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,13824.4
,ASEAN,2001,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,14553.6
,ASEAN,2001,22,Manufacture of rubber and plastics products,Current prices,Source,0,4565.8
,ASEAN,2001,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,4903.5
,ASEAN,2001,24,Manufacture of basic metals,Current prices,Source,0,4990.9
,ASEAN,2001,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,40451.2
,ASEAN,2001,29-30,Manufacture of transport equipment,Current prices,Source,0,12141.5
,ASEAN,2002,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,31215
,ASEAN,2002,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,15809.8
,ASEAN,2002,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,3186.7
,ASEAN,2002,17-18,Manufacture of paper products and printing,Current prices,Source,0,5075.6
,ASEAN,2002,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,15553.4
,ASEAN,2002,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,15963.3
,ASEAN,2002,22,Manufacture of rubber and plastics products,Current prices,Source,0,5181
,ASEAN,2002,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,5514.5
,ASEAN,2002,24,Manufacture of basic metals,Current prices,Source,0,5825.4
,ASEAN,2002,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,43343.6
,ASEAN,2002,29-30,Manufacture of transport equipment,Current prices,Source,0,13803.1
,ASEAN,2003,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,35096.8
,ASEAN,2003,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,17653.1
,ASEAN,2003,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,3635.4
,ASEAN,2003,17-18,Manufacture of paper products and printing,Current prices,Source,0,5739.6
,ASEAN,2003,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,17695.7
,ASEAN,2003,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,17772
,ASEAN,2003,22,Manufacture of rubber and plastics products,Current prices,Source,0,5893.9
,ASEAN,2003,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,6250.5
,ASEAN,2003,24,Manufacture of basic metals,Current prices,Source,0,6268.2
,ASEAN,2003,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,47931.7
,ASEAN,2003,29-30,Manufacture of transport equipment,Current prices,Source,0,15637.9
,ASEAN,2004,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,38999.2
