Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Value LCU,Value USD
ARG,Argentina,2000,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,16986099999.999998,16994599999.999998
ARG,Argentina,2000,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,5944130000.0,5947100000.0
ARG,Argentina,2000,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,1551720000.0,1552500000.0
ARG,Argentina,2000,17-18,Manufacture of paper products and printing,Current prices,4567810000.0,4570100000.0
ARG,Argentina,2000,19,Manufacture of coke and refined petroleum products,Current prices,2938130000.0,2939600000.0
ARG,Argentina,2000,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,8478059999.999999,8482299999.999999
ARG,Argentina,2000,22,Manufacture of rubber and plastics products,Current prices,3268660000.0,3270300000.0
ARG,Argentina,2000,23,Manufacture of other non-metallic mineral products,Current prices,2379010000.0,2380200000.0
ARG,Argentina,2000,24,Manufacture of basic metals,Current prices,5799700000.0,5802600000.0
ARG,Argentina,2000,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,8520040000.000001,8524299999.999999
ARG,Argentina,2000,29-30,Manufacture of transport equipment,Current prices,3192800000.0,3194400000.0
ARG,Argentina,2001,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,16172710000.0,16180800000.0
ARG,Argentina,2001,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,5658270000.0,5661100000.0
ARG,Argentina,2001,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,1473760000.0,1474500000.0
ARG,Argentina,2001,17-18,Manufacture of paper products and printing,Current prices,4344930000.0,4347100000.0
ARG,Argentina,2001,19,Manufacture of coke and refined petroleum products,Current prices,2812790000.0,2814200000.0
ARG,Argentina,2001,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,8061470000.0,8065500000.0
ARG,Argentina,2001,22,Manufacture of rubber and plastics products,Current prices,3098850000.0,3100400000.0
ARG,Argentina,2001,23,Manufacture of other non-metallic mineral products,Current prices,2264570000.0,2265700000.0
ARG,Argentina,2001,24,Manufacture of basic metals,Current prices,5531130000.0,5533900000.0
ARG,Argentina,2001,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,8098050000.0,8102100000.0
ARG,Argentina,2001,29-30,Manufacture of transport equipment,Current prices,3031680000.0,3033200000.0
ARG,Argentina,2002,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,19191630000.0,6265100000.0
ARG,Argentina,2002,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,6670250000.0,2177500000.0
ARG,Argentina,2002,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,1732890000.0,565700000.0
ARG,Argentina,2002,17-18,Manufacture of paper products and printing,Current prices,5104920000.0,1666500000.0
ARG,Argentina,2002,19,Manufacture of coke and refined petroleum products,Current prices,3468530000.0,1132300000.0
ARG,Argentina,2002,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,9464250000.0,3089600000.0
ARG,Argentina,2002,22,Manufacture of rubber and plastics products,Current prices,3637310000.0,1187400000.0
ARG,Argentina,2002,23,Manufacture of other non-metallic mineral products,Current prices,2665040000.0,870000000.0
ARG,Argentina,2002,24,Manufacture of basic metals,Current prices,6536690000.0,2133900000.0
ARG,Argentina,2002,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,9529800000.0,3111000000.0
ARG,Argentina,2002,29-30,Manufacture of transport equipment,Current prices,3615570000.0,1180300000.0
ARG,Argentina,2003,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,23198950000.0,7997900000.0
ARG,Argentina,2003,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,8005740000.0,2760000000.0
