Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD)
2000,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",16986.1,16994.6
2000,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",5944.13,5947.1
2000,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1551.72,1552.5
2000,Argentina,ARG,South America,D,Manufacture of paper products and printing,4567.81,4570.1
2000,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,2938.13,2939.6
2000,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,8478.06,8482.3
2000,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,3268.66,3270.3
2000,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,2379.01,2380.2
2000,Argentina,ARG,South America,I,Manufacture of basic metals,5799.7,5802.6
2000,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",8520.04,8524.3
2000,Argentina,ARG,South America,K,Manufacture of transport equipment,3192.8,3194.4
2001,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",16172.71,16180.8
2001,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",5658.27,5661.1
2001,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1473.76,1474.5
2001,Argentina,ARG,South America,D,Manufacture of paper products and printing,4344.93,4347.1
2001,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,2812.79,2814.2
2001,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,8061.47,8065.5
2001,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,3098.85,3100.4
2001,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,2264.57,2265.7
2001,Argentina,ARG,South America,I,Manufacture of basic metals,5531.13,5533.9
2001,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",8098.05,8102.1
2001,Argentina,ARG,South America,K,Manufacture of transport equipment,3031.68,3033.2
2002,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",19191.63,6265.1
2002,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",6670.25,2177.5
2002,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1732.89,565.7
2002,Argentina,ARG,South America,D,Manufacture of paper products and printing,5104.92,1666.5
2002,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,3468.53,1132.3
2002,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,9464.25,3089.6
2002,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,3637.31,1187.4
2002,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,2665.04,870.0
2002,Argentina,ARG,South America,I,Manufacture of basic metals,6536.69,2133.9
2002,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",9529.8,3111.0
2002,Argentina,ARG,South America,K,Manufacture of transport equipment,3615.57,1180.3
2003,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",23198.95,7997.9
2003,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",8005.74,2760.0
2003,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2068.44,713.1
2003,Argentina,ARG,South America,D,Manufacture of paper products and printing,6104.67,2104.6
2003,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,4229.12,1458.0
2003,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,11304.05,3897.1
2003,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,4348.62,1499.2
2003,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,3185.76,1098.3
2003,Argentina,ARG,South America,I,Manufacture of basic metals,7823.87,2697.3
2003,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",11389.91,3926.7
2003,Argentina,ARG,South America,K,Manufacture of transport equipment,4331.22,1493.2
2004,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",28978.97,9913.1
2004,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",9322.4,3189.0
2004,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2302.39,787.6
2004,Argentina,ARG,South America,D,Manufacture of paper products and printing,6915.07,2365.5
2004,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,5809.47,1987.3
2004,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,13155.43,4500.2
2004,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,4964.06,1698.1
2004,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,3602.38,1232.3
2004,Argentina,ARG,South America,I,Manufacture of basic metals,8868.71,3033.8
2004,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",12810.18,4382.1
2004,Argentina,ARG,South America,K,Manufacture of transport equipment,5250.25,1796.0
2005,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",32263.15,11111.2
2005,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",10864.62,3741.7
2005,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2484.66,855.7
2005,Argentina,ARG,South America,D,Manufacture of paper products and printing,7939.77,2734.4
2005,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,5834.03,2009.2
2005,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,14622.54,5035.9
2005,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,5552.96,1912.4
2005,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,4469.31,1539.2
2005,Argentina,ARG,South America,I,Manufacture of basic metals,10449.4,3598.7
2005,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",15598.75,5372.1
2005,Argentina,ARG,South America,K,Manufacture of transport equipment,6941.2,2390.5
2006,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",37533.8,12288.8
2006,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",12380.34,4053.4
2006,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3063.17,1002.9
2006,Argentina,ARG,South America,D,Manufacture of paper products and printing,9574.65,3134.8
2006,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,6043.56,1978.7
2006,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,17100.47,5598.8
2006,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,6294.32,2060.8
2006,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,5909.78,1934.9
2006,Argentina,ARG,South America,I,Manufacture of basic metals,12586.2,4120.8
2006,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",20251.91,6630.6
2006,Argentina,ARG,South America,K,Manufacture of transport equipment,9023.04,2954.2
2007,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",46158.62,14910.8
2007,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",14504.05,4685.3
2007,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3473.32,1122.0
2007,Argentina,ARG,South America,D,Manufacture of paper products and printing,11836.53,3823.6
2007,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,6890.92,2226.0
2007,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,19232.34,6212.7
2007,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,7662.66,2475.3
2007,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,7194.6,2324.1
2007,Argentina,ARG,South America,I,Manufacture of basic metals,13505.08,4362.6
2007,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",26079.61,8424.6
2007,Argentina,ARG,South America,K,Manufacture of transport equipment,11079.64,3579.1
2008,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",61415.51,19533.2
2008,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",16137.72,5132.6
2008,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3791.23,1205.8
2008,Argentina,ARG,South America,D,Manufacture of paper products and printing,14229.84,4525.8
2008,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,8941.99,2844.0
2008,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,24052.2,7649.8
2008,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,8681.34,2761.1
2008,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,8682.6,2761.5
2008,Argentina,ARG,South America,I,Manufacture of basic metals,17684.96,5624.7
2008,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",32399.94,10304.8
2008,Argentina,ARG,South America,K,Manufacture of transport equipment,13484.36,4288.7
2009,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",69531.54,18741.1
2009,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",17235.69,4645.6
2009,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3739.79,1008.0
2009,Argentina,ARG,South America,D,Manufacture of paper products and printing,15316.45,4128.3
2009,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,9871.86,2660.8
2009,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,26664.93,7187.1
2009,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,9718.63,2619.5
2009,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,8782.94,2367.3
2009,Argentina,ARG,South America,I,Manufacture of basic metals,13902.9,3747.3
2009,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",29350.31,7910.9
