Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD),Exchange Rate
2000,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",16986.1,16994.6,1.0005004091580763
2000,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",5944.13,5947.1,1.000499652598446
2000,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1551.72,1552.5,1.0005026680071147
2000,Argentina,ARG,South America,D,Manufacture of paper products and printing,4567.81,4570.1,1.0005013343374616
2000,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,2938.13,2939.6,1.0005003182296222
2000,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,8478.06,8482.3,1.000500114412967
2000,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,3268.66,3270.3,1.0005017346557918
2000,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,2379.01,2380.2,1.0005002080697432
2000,Argentina,ARG,South America,I,Manufacture of basic metals,5799.7,5802.6,1.000500025863407
2000,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",8520.04,8524.3,1.000499997652593
2000,Argentina,ARG,South America,K,Manufacture of transport equipment,3192.8,3194.4,1.0005011275369582
2001,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",16172.71,16180.8,1.0005002253796673
2001,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",5658.27,5661.1,1.0005001528735815
2001,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1473.76,1474.5,1.0005021170339812
2001,Argentina,ARG,South America,D,Manufacture of paper products and printing,4344.93,4347.1,1.0004994326721028
2001,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,2812.79,2814.2,1.0005012816456258
2001,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,8061.47,8065.5,1.0004999088255615
2001,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,3098.85,3100.4,1.0005001855527051
2001,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,2264.57,2265.7,1.0004989909784197
2001,Argentina,ARG,South America,I,Manufacture of basic metals,5531.13,5533.9,1.000500801825305
2001,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",8098.05,8102.1,1.0005001203993553
2001,Argentina,ARG,South America,K,Manufacture of transport equipment,3031.68,3033.2,1.000501372176483
2002,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",19191.63,6265.1,0.3264496032906012
2002,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",6670.25,2177.5,0.3264495333758105
2002,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1732.89,565.7,0.3264488801943574
