Year,Country,ISO3,Continent,Ind Code,Industry,Measure,Value (LCU),Value (USD),Exchange Rate,Volatility,Growth,Percentage_Growth
2000,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",Current prices,3931.9,3631.55,0.9236119942012767,0.11787394043954702,,
2000,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,1605.22,1482.6,0.9236117167740246,0.11787394043954702,,
2000,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,1702.97,1572.88,0.9236099285366155,0.11787394043954702,,
2000,Austria,AUT,Europe,D,Manufacture of paper products and printing,Current prices,3282.55,3031.8,0.9236112168893086,0.11787394043954702,,
2000,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,Current prices,1192.46,1101.37,0.9236116934739949,0.11787394043954702,,
2000,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,Current prices,2964.23,2737.8,0.9236125401875024,0.11787394043954702,,
2000,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,Current prices,1606.78,1484.04,0.9236111975503802,0.11787394043954702,,
2000,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,Current prices,2324.99,2147.39,0.9236125746777406,0.11787394043954702,,
2000,Austria,AUT,Europe,I,Manufacture of basic metals,Current prices,2315.77,2138.87,0.9236107212719743,0.11787394043954702,,
2000,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",Current prices,12666.78,11699.2,0.9236127887276798,0.11787394043954702,,
2000,Austria,AUT,Europe,K,Manufacture of transport equipment,Current prices,2813.53,2598.61,0.9236119749922694,0.11787394043954702,,
2000,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",Current prices,2301.39,2125.59,0.9236113826861159,0.11787394043954702,,
2001,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",Current prices,3967.9,3553.77,0.8956299301897729,0.11787394043954702,-77.7800000000002,-2.1417851881428094
2001,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,1492.26,1336.51,0.8956281077024111,0.11787394043954702,-146.08999999999992,-9.853635505193575
