ISO3,Country,Year,Ind Code,Industry,Value (LCU),Value (USD),Continent,Exchange Rate,Volatility,USD Growth
AUS,Australia,2000,A,"Manufacture of food products, beverages and tobacco products",19295.29,11186.8,Oceania,0.5797684305340837,0.14396853097768494,
AUS,Australia,2000,B,"Manufacture of textiles, wearing apparel, leather and related products",2967.56,1720.5,Oceania,0.5797692380272008,0.14396853097768494,
AUS,Australia,2000,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3428.61,1987.8,Oceania,0.5797684776046269,0.14396853097768494,
AUS,Australia,2000,D,Manufacture of paper products and printing,6665.94,3864.7,Oceania,0.5797681947332259,0.14396853097768494,
AUS,Australia,2000,E,Manufacture of coke and refined petroleum products,3528.31,2045.6,Oceania,0.5797676508016586,0.14396853097768494,
AUS,Australia,2000,F,Manufacturing of chemicals and pharmaceutical products,6167.12,3575.5,Oceania,0.5797681900141395,0.14396853097768494,
AUS,Australia,2000,G,Manufacture of rubber and plastics products,4094.57,2373.9,Oceania,0.5797678388695272,0.14396853097768494,
AUS,Australia,2000,H,Manufacture of other non-metallic mineral products,3668.88,2127.1,Oceania,0.5797682126425503,0.14396853097768494,
AUS,Australia,2000,I,Manufacture of basic metals,9556.06,5540.3,Oceania,0.5797682308399069,0.14396853097768494,
AUS,Australia,2000,J,"Manufacture of fabricated metal products, machinery and equipment",15100.16,8754.6,Oceania,0.5797686911926762,0.14396853097768494,
AUS,Australia,2000,K,Manufacture of transport equipment,7979.39,4626.2,Oceania,0.5797686289302816,0.14396853097768494,
AUS,Australia,2001,A,"Manufacture of food products, beverages and tobacco products",19627.73,10151.7,Oceania,0.5172121279434759,0.14396853097768494,-0.09252869453284218
AUS,Australia,2001,B,"Manufacture of textiles, wearing apparel, leather and related products",2913.7,1507.0,Oceania,0.517211792566153,0.14396853097768494,-0.12409183376925315
AUS,Australia,2001,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3230.4,1670.8,Oceania,0.517211490837048,0.14396853097768494,-0.15947278398229203
AUS,Australia,2001,D,Manufacture of paper products and printing,6871.26,3553.9,Oceania,0.5172122725671856,0.14396853097768494,-0.08042021372939678
AUS,Australia,2001,E,Manufacture of coke and refined petroleum products,3396.09,1756.5,Oceania,0.5172124413663949,0.14396853097768494,-0.14132772780602265
AUS,Australia,2001,F,Manufacturing of chemicals and pharmaceutical products,6406.46,3313.5,Oceania,0.5172123138207372,0.14396853097768494,-0.07327646483009365
AUS,Australia,2001,G,Manufacture of rubber and plastics products,3973.42,2055.1,Oceania,0.5172118728953898,0.14396853097768494,-0.13429377817094246
AUS,Australia,2001,H,Manufacture of other non-metallic mineral products,3130.44,1619.1,Oceania,0.5172116379806033,0.14396853097768494,-0.238822810399135
AUS,Australia,2001,I,Manufacture of basic metals,10414.3,5386.4,Oceania,0.5172119105460761,0.14396853097768494,-0.02777827915455855
AUS,Australia,2001,J,"Manufacture of fabricated metal products, machinery and equipment",16094.75,8324.4,Oceania,0.5172121343916495,0.14396853097768494,-0.049139880748406584
AUS,Australia,2001,K,Manufacture of transport equipment,7989.76,4132.4,Oceania,0.5172120314001922,0.14396853097768494,-0.10673987289784281
AUS,Australia,2002,A,"Manufacture of food products, beverages and tobacco products",19877.53,10799.7,Oceania,0.5433119708535216,0.14396853097768494,0.0638316735128106
