Country,ISO3,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa Eastern and Southern,AFE,265429.0,287202.0,260992.0,267815.0,355716.0,442696.0,516661.0,580241.0,665599.0,713502.0,715485.0,849410.0,945439.0,952999.0,962395.0,978708.0,898278.0,828943.0,972999.0,1012310.0,1009720.0
Africa Western and Central,AFW,139468.0,142140.0,150058.0,179390.0,207755.0,256908.0,313328.0,398140.0,466884.0,569322.0,509918.0,600153.0,683888.0,739938.0,836937.0,897416.0,771767.0,694361.0,687849.0,770495.0,826484.0
Australia,AUS,389652.0,416168.0,379629.0,395789.0,467739.0,614660.0,695693.0,748418.0,855007.0,1056110.0,928762.0,1148840.0,1398610.0,1547530.0,1577120.0,1468270.0,1351300.0,1206840.0,1325580.0,1427810.0,1392720.0
Austria,AUT,216422.0,196182.0,196477.0,212837.0,260780.0,299210.0,313952.0,333906.0,386760.0,429234.0,399290.0,389828.0,428955.0,406750.0,426581.0,438556.0,379546.0,393687.0,414926.0,452582.0,442984.0
Burundi,BDI,808.0772234,870.4860659,876.7947231,825.3945193999999,784.6544236,915.2573234,1117.11308,1273.375078,1356.199387,1611.835857,1781.45514,2032.135192,2235.820809,2333.341334,2451.606632,2705.78333,3104.003546,2644.487777,2723.586963,2667.1822,2576.51888
Belgium,BEL,258246.0,236792.0,236746.0,258384.0,318083.0,369215.0,385715.0,408260.0,470922.0,517328.0,485015.0,481557.0,527197.0,498414.0,524097.0,537987.0,461045.0,474272.0,500909.0,542639.0,536726.0
Benin,BEN,3677.393999,3519.99144,3666.222635,4194.342686,5349.258094,6190.27038,6567.654954,7034.111315,8169.048383,9787.734526,9738.626517,9535.345011,10693.32137,11141.358106,12517.845128,13284.52785,11388.160997,11821.065852,12701.655846,14262.40808,14391.686309
Burkina Faso,BFA,3389.566713,2968.370088,3190.371081,3622.350063,4740.768143,5451.688538,6146.353173,6547.41982,7625.722837,9451.43549,9450.696873,10109.619741,12080.295978,12561.015157,13444.300486,13943.016077,11832.159316,12833.363045,14106.955615,15890.066221,16032.813503
Bangladesh,BGD,51270.569884,53369.787319,53991.289844,54724.081491,60158.929188,65108.54425,69476.001239,71795.736172,79611.644975,91636.997371,102475.0,115276.0,128607.0,133311.0,149999.0,172887.0,195147.0,265225.0,293732.0,321363.0,351232.0
"Bahamas, The",BHS,7683.87,8076.47,8317.83,8881.16,8870.09,9055.29,9836.2,10167.25,10618.34,10526.0,9981.96,10095.76,10070.45,10720.4,10395.8,10974.1,11671.9,11745.1,12236.7,12615.8,13016.2
Belize,BLZ,1000.25,1138.9,1172.8,1244.65,1308.9,1400.85,1474.95,1591.15,1707.1,1738.9,1688.5,1745.7,1827.05,1909.4,2032.75,2138.25,2193.05,2240.2,2266.3,2293.25,2388.3
Bermuda,BMU,3324.433,3480.219,3680.483,3937.228,4186.525,4484.703,4868.136,6144.0,6767.0,6980.0,6656.0,6634.526,6312.691,6378.188,6465.756,6413.988,6654.541,6899.911,7142.316,7225.977,7423.465
Bolivia,BOL,8285.064435,8397.855485,8141.516928,7905.485146,8082.39964,8773.451752,9549.122905,11451.844902,13120.108008,16674.276286,17339.992194,19649.723722,23963.164697,27084.497482,30659.338886,32996.188013,33000.198248,33941.1262,37508.642165,40287.64793,40895.322844
