Country,ISO3,Year,GDP
Australia,AUS,2000,416168000000.0
Australia,AUS,2001,379629000000.0
Australia,AUS,2002,395789000000.0
Australia,AUS,2003,467739000000.0
Australia,AUS,2004,614660000000.0
Australia,AUS,2005,695693000000.0
Australia,AUS,2006,748418000000.0
Australia,AUS,2007,855007000000.0
Australia,AUS,2008,1056110000000.0
Australia,AUS,2009,928762000000.0
Australia,AUS,2010,1148840000000.0
Australia,AUS,2011,1398610000000.0
Australia,AUS,2012,1547530000000.0
Australia,AUS,2013,1577120000000.0
Australia,AUS,2014,1468270000000.0
Australia,AUS,2015,1351300000000.0
Australia,AUS,2016,1206840000000.0
Australia,AUS,2017,1325580000000.0
Australia,AUS,2018,1427810000000.0
Austria,AUT,2000,196182000000.0
Austria,AUT,2001,196477000000.0
Austria,AUT,2002,212837000000.0
Austria,AUT,2003,260780000000.0
Austria,AUT,2004,299210000000.0
Austria,AUT,2005,313952000000.0
Austria,AUT,2006,333906000000.0
Austria,AUT,2007,386760000000.0
Austria,AUT,2008,429234000000.0
Austria,AUT,2009,399290000000.0
Austria,AUT,2010,389828000000.0
Austria,AUT,2011,428955000000.0
Austria,AUT,2012,406750000000.0
Austria,AUT,2013,426581000000.0
Austria,AUT,2014,438556000000.0
Austria,AUT,2015,379546000000.0
Austria,AUT,2016,393687000000.0
Austria,AUT,2017,414926000000.0
Austria,AUT,2018,452582000000.0
Belgium,BEL,2000,236792000000.0
Belgium,BEL,2001,236746000000.0
Belgium,BEL,2002,258384000000.0
Belgium,BEL,2003,318083000000.0
Belgium,BEL,2004,369215000000.0
Belgium,BEL,2005,385715000000.0
Belgium,BEL,2006,408260000000.0
Belgium,BEL,2007,470922000000.0
Belgium,BEL,2008,517328000000.0
Belgium,BEL,2009,485015000000.0
Belgium,BEL,2010,481557000000.0
Belgium,BEL,2011,527197000000.0
Belgium,BEL,2012,498414000000.0
Belgium,BEL,2013,524097000000.0
Belgium,BEL,2014,537987000000.0
Belgium,BEL,2015,461045000000.0
Belgium,BEL,2016,474272000000.0
Belgium,BEL,2017,500909000000.0
Belgium,BEL,2018,542639000000.0
Brazil,BRA,2000,655448000000.0
Brazil,BRA,2001,559984000000.0
Brazil,BRA,2002,509795000000.0
Brazil,BRA,2003,558234000000.0
Brazil,BRA,2004,669289000000.0
Brazil,BRA,2005,891634000000.0
Brazil,BRA,2006,1107630000000.0
Brazil,BRA,2007,1397110000000.0
Brazil,BRA,2008,1695860000000.0
Brazil,BRA,2009,1667000000000.0
Brazil,BRA,2010,2208840000000.0
Brazil,BRA,2011,2616160000000.0
Brazil,BRA,2012,2465230000000.0
Brazil,BRA,2013,2472820000000.0
Brazil,BRA,2014,2456040000000.0
Brazil,BRA,2015,1802210000000.0
Brazil,BRA,2016,1795690000000.0
Brazil,BRA,2017,2063510000000.0
Brazil,BRA,2018,1916930000000.0
Canada,CAN,2000,744773000000.0
Canada,CAN,2001,738982000000.0
Canada,CAN,2002,760649000000.0
Canada,CAN,2003,895541000000.0
Canada,CAN,2004,1026690000000.0
Canada,CAN,2005,1173110000000.0
Canada,CAN,2006,1319260000000.0
Canada,CAN,2007,1468820000000.0
Canada,CAN,2008,1552990000000.0
Canada,CAN,2009,1374630000000.0
Canada,CAN,2010,1617340000000.0
Canada,CAN,2011,1793330000000.0
Canada,CAN,2012,1828370000000.0
Canada,CAN,2013,1846600000000.0
Canada,CAN,2014,1805750000000.0
Canada,CAN,2015,1556510000000.0
Canada,CAN,2016,1527990000000.0
Canada,CAN,2017,1649270000000.0
Canada,CAN,2018,1725330000000.0
Chile,CHL,2000,78339750722.0
Chile,CHL,2001,71574739561.0
Chile,CHL,2002,70264045939.0
Chile,CHL,2003,76492579644.0
Chile,CHL,2004,99075985773.0
Chile,CHL,2005,122294000000.0
Chile,CHL,2006,153844000000.0
Chile,CHL,2007,172491000000.0
Chile,CHL,2008,179895000000.0
Chile,CHL,2009,171778000000.0
Chile,CHL,2010,217051000000.0
Chile,CHL,2011,251383000000.0
Chile,CHL,2012,267025000000.0
Chile,CHL,2013,277395000000.0
Chile,CHL,2014,259561000000.0
Chile,CHL,2015,242450000000.0
Chile,CHL,2016,249345000000.0
Chile,CHL,2017,276154000000.0
Chile,CHL,2018,295858000000.0
China,CHN,2000,1211330000000.0
China,CHN,2001,1339400000000.0
China,CHN,2002,1470560000000.0
China,CHN,2003,1660280000000.0
China,CHN,2004,1955350000000.0
China,CHN,2005,2285960000000.0
China,CHN,2006,2752120000000.0
China,CHN,2007,3550330000000.0
China,CHN,2008,4594340000000.0
China,CHN,2009,5101690000000.0
China,CHN,2010,6087190000000.0
China,CHN,2011,7551550000000.0
China,CHN,2012,8532190000000.0
China,CHN,2013,9570470000000.0
China,CHN,2014,10475600000000.0
China,CHN,2015,11061600000000.0
China,CHN,2016,11233300000000.0
China,CHN,2017,12310500000000.0
China,CHN,2018,13894900000000.0
Colombia,COL,2000,99875074951.0
Colombia,COL,2001,98200641203.0
Colombia,COL,2002,97945812803.0
Colombia,COL,2003,94644969157.0
Colombia,COL,2004,117092000000.0
Colombia,COL,2005,145601000000.0
Colombia,COL,2006,161793000000.0
Colombia,COL,2007,206230000000.0
Colombia,COL,2008,242504000000.0
Colombia,COL,2009,232469000000.0
Colombia,COL,2010,286499000000.0
Colombia,COL,2011,334966000000.0
Colombia,COL,2012,370691000000.0
Colombia,COL,2013,382094000000.0
Colombia,COL,2014,381241000000.0
Colombia,COL,2015,293492000000.0
Colombia,COL,2016,282720000000.0
Colombia,COL,2017,311867000000.0
Colombia,COL,2018,334198000000.0
Costa Rica,CRI,2000,15013629662.0
Costa Rica,CRI,2001,15976174337.0
Costa Rica,CRI,2002,16578820687.0
Costa Rica,CRI,2003,17271760507.0
Costa Rica,CRI,2004,18610594846.0
Costa Rica,CRI,2005,20040642477.0
Costa Rica,CRI,2006,22715540324.0
Costa Rica,CRI,2007,26884700709.0
Costa Rica,CRI,2008,30801745700.0
Costa Rica,CRI,2009,30745714313.0
Costa Rica,CRI,2010,37658616952.0
Costa Rica,CRI,2011,42762613699.0
Costa Rica,CRI,2012,47231655432.0
Costa Rica,CRI,2013,50949668842.0
Costa Rica,CRI,2014,52016408854.0
Costa Rica,CRI,2015,56441920821.0
Costa Rica,CRI,2016,58847019610.0
Costa Rica,CRI,2017,60516044657.0
Costa Rica,CRI,2018,62420164992.0
Denmark,DNK,2000,164044000000.0
Denmark,DNK,2001,164882000000.0
Denmark,DNK,2002,178788000000.0
Denmark,DNK,2003,218421000000.0
Denmark,DNK,2004,251986000000.0
Denmark,DNK,2005,265150000000.0
Denmark,DNK,2006,283386000000.0
