Country,ISO3,Year,GDP
Austria,AUT,2000,196182.0
Austria,AUT,2001,196477.0
Austria,AUT,2002,212837.0
Austria,AUT,2003,260780.0
Austria,AUT,2004,299210.0
Austria,AUT,2005,313952.0
Austria,AUT,2006,333906.0
Austria,AUT,2007,386760.0
Austria,AUT,2008,429234.0
Austria,AUT,2009,399290.0
Austria,AUT,2010,389828.0
Austria,AUT,2011,428955.0
Austria,AUT,2012,406750.0
Austria,AUT,2013,426581.0
Austria,AUT,2014,438556.0
Austria,AUT,2015,379546.0
Austria,AUT,2016,393687.0
Austria,AUT,2017,414926.0
Austria,AUT,2018,452582.0
Belgium,BEL,2000,236792.0
Belgium,BEL,2001,236746.0
Belgium,BEL,2002,258384.0
Belgium,BEL,2003,318083.0
Belgium,BEL,2004,369215.0
Belgium,BEL,2005,385715.0
Belgium,BEL,2006,408260.0
Belgium,BEL,2007,470922.0
Belgium,BEL,2008,517328.0
Belgium,BEL,2009,485015.0
Belgium,BEL,2010,481557.0
Belgium,BEL,2011,527197.0
Belgium,BEL,2012,498414.0
Belgium,BEL,2013,524097.0
Belgium,BEL,2014,537987.0
Belgium,BEL,2015,461045.0
Belgium,BEL,2016,474272.0
Belgium,BEL,2017,500909.0
Belgium,BEL,2018,542639.0
Brazil,BRA,2000,655448.0
Brazil,BRA,2001,559984.0
Brazil,BRA,2002,509795.0
Brazil,BRA,2003,558234.0
Brazil,BRA,2004,669289.0
Brazil,BRA,2005,891634.0
Brazil,BRA,2006,1107630.0
Brazil,BRA,2007,1397110.0
Brazil,BRA,2008,1695860.0
Brazil,BRA,2009,1667000.0
Brazil,BRA,2010,2208840.0
Brazil,BRA,2011,2616160.0
Brazil,BRA,2012,2465230.0
Brazil,BRA,2013,2472820.0
Brazil,BRA,2014,2456040.0
Brazil,BRA,2015,1802210.0
Brazil,BRA,2016,1795690.0
Brazil,BRA,2017,2063510.0
Brazil,BRA,2018,1916930.0
Canada,CAN,2000,744773.0
Canada,CAN,2001,738982.0
Canada,CAN,2002,760649.0
Canada,CAN,2003,895541.0
Canada,CAN,2004,1026690.0
Canada,CAN,2005,1173110.0
Canada,CAN,2006,1319260.0
Canada,CAN,2007,1468820.0
Canada,CAN,2008,1552990.0
Canada,CAN,2009,1374630.0
Canada,CAN,2010,1617340.0
Canada,CAN,2011,1793330.0
Canada,CAN,2012,1828370.0
Canada,CAN,2013,1846600.0
Canada,CAN,2014,1805750.0
Canada,CAN,2015,1556510.0
Canada,CAN,2016,1527990.0
Canada,CAN,2017,1649270.0
Canada,CAN,2018,1725330.0
Chile,CHL,2000,78339.750722
Chile,CHL,2001,71574.739561
Chile,CHL,2002,70264.045939
Chile,CHL,2003,76492.579644
Chile,CHL,2004,99075.985773
Chile,CHL,2005,122294.0
Chile,CHL,2006,153844.0
Chile,CHL,2007,172491.0
Chile,CHL,2008,179895.0
Chile,CHL,2009,171778.0
Chile,CHL,2010,217051.0
Chile,CHL,2011,251383.0
Chile,CHL,2012,267025.0
Chile,CHL,2013,277395.0
Chile,CHL,2014,259561.0
Chile,CHL,2015,242450.0
Chile,CHL,2016,249345.0
Chile,CHL,2017,276154.0
Chile,CHL,2018,295858.0
China,CHN,2000,1211330.0
China,CHN,2001,1339400.0
China,CHN,2002,1470560.0
China,CHN,2003,1660280.0
China,CHN,2004,1955350.0
China,CHN,2005,2285960.0
China,CHN,2006,2752120.0
China,CHN,2007,3550330.0
China,CHN,2008,4594340.0
China,CHN,2009,5101690.0
China,CHN,2010,6087190.0
China,CHN,2011,7551550.0
China,CHN,2012,8532190.0
China,CHN,2013,9570470.0
China,CHN,2014,10475600.0
China,CHN,2015,11061600.0
China,CHN,2016,11233300.0
China,CHN,2017,12310500.0
China,CHN,2018,13894900.0
Colombia,COL,2000,99875.074951
Colombia,COL,2001,98200.641203
Colombia,COL,2002,97945.812803
Colombia,COL,2003,94644.969157
Colombia,COL,2004,117092.0
Colombia,COL,2005,145601.0
Colombia,COL,2006,161793.0
Colombia,COL,2007,206230.0
Colombia,COL,2008,242504.0
Colombia,COL,2009,232469.0
Colombia,COL,2010,286499.0
Colombia,COL,2011,334966.0
Colombia,COL,2012,370691.0
Colombia,COL,2013,382094.0
Colombia,COL,2014,381241.0
Colombia,COL,2015,293492.0
Colombia,COL,2016,282720.0
Colombia,COL,2017,311867.0
Colombia,COL,2018,334198.0
Costa Rica,CRI,2000,15013.629662
Costa Rica,CRI,2001,15976.174337
Costa Rica,CRI,2002,16578.820687
Costa Rica,CRI,2003,17271.760507
Costa Rica,CRI,2004,18610.594846
Costa Rica,CRI,2005,20040.642477
Costa Rica,CRI,2006,22715.540324
Costa Rica,CRI,2007,26884.700709
Costa Rica,CRI,2008,30801.7457
Costa Rica,CRI,2009,30745.714313
Costa Rica,CRI,2010,37658.616952
Costa Rica,CRI,2011,42762.613699
Costa Rica,CRI,2012,47231.655432
Costa Rica,CRI,2013,50949.668842
Costa Rica,CRI,2014,52016.408854
Costa Rica,CRI,2015,56441.920821
Costa Rica,CRI,2016,58847.01961
Costa Rica,CRI,2017,60516.044657
Costa Rica,CRI,2018,62420.164992
Denmark,DNK,2000,164044.0
Denmark,DNK,2001,164882.0
Denmark,DNK,2002,178788.0
Denmark,DNK,2003,218421.0
Denmark,DNK,2004,251986.0
Denmark,DNK,2005,265150.0
Denmark,DNK,2006,283386.0
Denmark,DNK,2007,320213.0
Denmark,DNK,2008,354979.0
Denmark,DNK,2009,322619.0
Denmark,DNK,2010,322346.0
Denmark,DNK,2011,344316.0
Denmark,DNK,2012,326793.0
Denmark,DNK,2013,344631.0
Denmark,DNK,2014,352833.0
Denmark,DNK,2015,301759.0
Denmark,DNK,2016,312182.0
Denmark,DNK,2017,331611.0
Denmark,DNK,2018,355293.0
Finland,FIN,2000,125968.0
Finland,FIN,2001,129520.0
Finland,FIN,2002,140361.0
Finland,FIN,2003,171613.0
Finland,FIN,2004,197458.0
Finland,FIN,2005,204859.0
Finland,FIN,2006,217044.0
Finland,FIN,2007,256360.0
Finland,FIN,2008,285699.0
Finland,FIN,2009,253481.0
Finland,FIN,2010,249430.0
Finland,FIN,2011,275127.0
Finland,FIN,2012,257443.0
Finland,FIN,2013,270268.0
Finland,FIN,2014,273479.0
Finland,FIN,2015,233211.0
Finland,FIN,2016,238778.0
Finland,FIN,2017,253846.0
Finland,FIN,2018,273869.0
France,FRA,2000,1360960.0
France,FRA,2001,1370380.0
France,FRA,2002,1492430.0
France,FRA,2003,1835100.0
France,FRA,2004,2109790.0
France,FRA,2005,2192150.0
France,FRA,2006,2317860.0
France,FRA,2007,2655820.0
France,FRA,2008,2926800.0
France,FRA,2009,2700080.0
France,FRA,2010,2646230.0
France,FRA,2011,2870410.0
France,FRA,2012,2683010.0
France,FRA,2013,2816080.0
France,FRA,2014,2861240.0
France,FRA,2015,2442480.0
France,FRA,2016,2470410.0
France,FRA,2017,2588870.0
France,FRA,2018,2781580.0
Germany,DEU,2000,1966980.0
Germany,DEU,2001,1966380.0
Germany,DEU,2002,2102350.0
Germany,DEU,2003,2534720.0
Germany,DEU,2004,2852320.0
Germany,DEU,2005,2893390.0
Germany,DEU,2006,3046310.0
Germany,DEU,2007,3484060.0
Germany,DEU,2008,3808790.0
Germany,DEU,2009,3479800.0
Germany,DEU,2010,3468150.0
Germany,DEU,2011,3824830.0
Germany,DEU,2012,3597900.0
Germany,DEU,2013,3808090.0
Germany,DEU,2014,3965800.0
Germany,DEU,2015,3423570.0
Germany,DEU,2016,3537780.0
Germany,DEU,2017,3763090.0
Germany,DEU,2018,4052010.0
Greece,GRC,2000,125760.0
Greece,GRC,2001,132050.0
Greece,GRC,2002,150254.0
Greece,GRC,2003,196931.0
Greece,GRC,2004,234980.0
Greece,GRC,2005,242316.0
Greece,GRC,2006,269073.0
Greece,GRC,2007,314227.0
Greece,GRC,2008,351121.0
Greece,GRC,2009,326829.0
Greece,GRC,2010,296418.0
Greece,GRC,2011,283228.0
Greece,GRC,2012,238841.0
Greece,GRC,2013,236556.0
Greece,GRC,2014,233912.0
Greece,GRC,2015,194567.0
Greece,GRC,2016,193097.0
Greece,GRC,2017,200381.0
Greece,GRC,2018,213299.0
"Hong Kong SAR, China",HKG,2000,171669.0
"Hong Kong SAR, China",HKG,2001,169404.0
"Hong Kong SAR, China",HKG,2002,166349.0
"Hong Kong SAR, China",HKG,2003,161386.0
"Hong Kong SAR, China",HKG,2004,169100.0
"Hong Kong SAR, China",HKG,2005,181569.0
"Hong Kong SAR, China",HKG,2006,193535.0
"Hong Kong SAR, China",HKG,2007,211597.0
"Hong Kong SAR, China",HKG,2008,219279.0
"Hong Kong SAR, China",HKG,2009,214048.0
"Hong Kong SAR, China",HKG,2010,228639.0
"Hong Kong SAR, China",HKG,2011,248514.0
"Hong Kong SAR, China",HKG,2012,262629.0
"Hong Kong SAR, China",HKG,2013,275697.0
"Hong Kong SAR, China",HKG,2014,291460.0
"Hong Kong SAR, China",HKG,2015,309386.0
"Hong Kong SAR, China",HKG,2016,320860.0
"Hong Kong SAR, China",HKG,2017,341273.0
"Hong Kong SAR, China",HKG,2018,361731.0
Iceland,ISL,2000,9025.660362
Iceland,ISL,2001,8234.846805
Iceland,ISL,2002,9318.395055
Iceland,ISL,2003,11429.333038
Iceland,ISL,2004,13825.302536
Iceland,ISL,2005,16852.963067
Iceland,ISL,2006,17465.318552
Iceland,ISL,2007,21652.505597
Iceland,ISL,2008,18074.622987
Iceland,ISL,2009,13154.414219
Iceland,ISL,2010,13751.161918
Iceland,ISL,2011,15221.622926
